CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,VOTOS_CAND_NREG,VOTOS_VALIDOS,VOTOS_NULOS,VOTOS_TOTAL,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,111,URBANA,C02,131,68,66,18,4,8,2,22,6,0,0,2,0,327,12,339,618,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,111,U,,-0.40143969223969617,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,111,URBANA,C03,131,72,64,10,6,12,3,26,5,0,4,1,0,334,12,346,618,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,111,U,,-0.2538462671635174,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,112,URBANA,B,75,74,92,25,4,6,1,28,2,0,0,1,1,308,13,322,647,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,112,U,,0.008532307443227055,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,112,URBANA,C01,80,73,93,23,9,14,4,16,1,0,0,4,0,317,10,327,647,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,112,U,,-0.2860485572343696,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,112,URBANA,C02,81,71,87,32,1,5,2,12,4,0,0,0,0,295,17,312,647,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,112,U,,-0.40700277432412535,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,113,MIXTA,B,75,83,97,17,2,4,3,23,4,0,3,2,1,313,15,329,618,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,113,M,,0.03408771476154662,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,113,MIXTA,C01,77,78,60,23,5,8,6,19,1,0,1,3,0,281,7,288,617,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,113,M,,-0.13524414743590857,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,113,MIXTA,E01,74,71,56,20,3,7,3,24,2,0,2,1,1,263,21,285,600,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,113,M,,-0.12069021376290116,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,113,MIXTA,E01C01,76,61,89,17,3,7,5,19,3,0,11,0,2,291,13,306,599,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,113,M,,-0.3869339147046991,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,113,MIXTA,E01C02,63,63,44,23,3,7,3,20,5,0,1,1,2,233,11,246,599,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,113,M,,-0.2912542555508921,1,2,12.2
