CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,VOTOS_CAND_NREG,VOTOS_VALIDOS,VOTOS_NULOS,VOTOS_TOTAL,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
2,32,ZACATECAS,1,5,FRESNILLO,13,FRESNILLO,304,RURAL,C01,19,184,14,16,14,6,48,33,1,3,0,0,0,2,4,3,344,1,348,562,ACTA CASILLA,NA,NA,NA,1,5,10,FRESNILLO,304,R,NA,2.5799491760515543,2,2,1.2
2,32,ZACATECAS,3,2,ZACATECAS,58,ZACATECAS,1811,URBANO(A),B,26,96,15,8,11,6,152,18,2,0,2,0,0,10,6,0,352,16,368,543,ACTA CASILLA,NA,NA,NA,3,2,56,ZACATECAS,1811,U,NA,3.446409787481566,2,2,3.2
2,32,ZACATECAS,1,5,FRESNILLO,13,FRESNILLO,266,URBANO(A),B,8,97,5,19,9,5,71,44,0,1,3,1,1,4,5,0,273,5,278,494,GRUPO DE RECUENTO,NA,NA,NA,1,5,10,FRESNILLO,266,U,NA,1.8039486885881595,2,2,1.2
2,32,ZACATECAS,3,1,ZACATECAS,58,ZACATECAS,1861,URBANO(A),B,13,101,21,3,3,3,166,21,2,2,0,0,0,6,5,1,346,15,362,633,ACTA CASILLA,NA,NA,NA,3,1,56,ZACATECAS,1861,U,NA,3.6864920956302836,2,2,3.2
2,32,ZACATECAS,2,13,JALPA,34,NOCHISTLAN DE MEJIA,968,URBANO(A),C01,42,121,21,49,7,2,101,61,3,0,0,2,0,0,2,0,411,10,421,654,ACTA CASILLA,NA,NA,NA,2,13,34,NOCHISTLAN DE MEJIA,968,U,NA,2.507369555062155,2,2,2.2
2,32,ZACATECAS,4,3,GUADALUPE,16,GUADALUPE,494,URBANO(A),B,22,126,23,8,4,2,144,26,4,2,2,0,0,5,6,0,374,8,382,633,ACTA CASILLA,NA,NA,NA,4,3,17,GUADALUPE,494,U,NA,3.566115485767763,2,2,4.2
2,32,ZACATECAS,3,2,ZACATECAS,58,ZACATECAS,1812,URBANO(A),B,20,107,18,0,6,5,163,9,1,0,2,1,0,6,8,1,346,11,358,555,ACTA CASILLA,NA,NA,NA,3,2,56,ZACATECAS,1812,U,NA,3.790744986351839,2,2,3.2
2,32,ZACATECAS,4,15,PINOS,39,PINOS,1153,URBANO(A),B,4,76,10,4,1,4,158,4,0,0,0,1,0,2,2,0,266,6,272,390,ACTA CASILLA,NA,NA,NA,4,15,38,PINOS,1153,U,NA,3.1803269352472325,2,2,4.2
2,32,ZACATECAS,1,5,FRESNILLO,13,FRESNILLO,262,RURAL,B,1,23,3,2,11,1,20,11,0,0,0,0,0,1,0,0,73,1,74,116,GRUPO DE RECUENTO,NA,NA,NA,1,5,10,FRESNILLO,262,R,NA,-0.5126641710556451,2,1,1.1
2,32,ZACATECAS,2,13,JALPA,34,NOCHISTLAN DE MEJIA,969,URBANO(A),B,60,113,15,54,5,3,93,66,8,3,4,0,0,0,2,0,426,13,439,717,ACTA CASILLA,NA,NA,NA,2,13,34,NOCHISTLAN DE MEJIA,969,U,NA,2.2149481221142544,2,2,2.2
