state_abbr,indice_grupo,indice_votos,tam_ln,estratificacion_num,estrato_df,n,estrato_df_colapsado
ZAC,2,1,2,7,1.2.1.2,119,1.2.1.2
ZAC,1,1,1,8,2.1.1.1,120,2.1.1.1
ZAC,2,2,1,6,1.2.2.1,120,1.2.2.1
ZAC,1,1,2,4,2.1.1.2,126,2.1.1.2
ZAC,1,2,2,8,1.1.2.2,127,1.1.2.2
ZAC,1,1,1,6,1.1.1.1,128,1.1.1.1
ZAC,2,2,2,8,4.2.2.2,128,4.2.2.2
ZAC,1,2,2,8,2.1.2.2,131,2.1.2.2
ZAC,2,1,1,7,4.2.1.1,142,4.2.1.1
ZAC,1,1,1,2,4.1.1.1,143,4.1.1.1
ZAC,1,1,1,7,2.1.1.1,149,2.1.1.1
ZAC,1,2,1,6,1.1.2.1,150,1.1.2.1
ZAC,2,1,2,7,4.2.1.2,151,4.2.1.2
ZAC,2,1,1,8,1.2.1.1,152,1.2.1.1
ZAC,2,1,1,8,3.2.1.1,155,3.2.1.1
ZAC,1,2,1,6,2.1.2.1,160,2.1.2.1
ZAC,1,2,2,4,2.1.2.2,166,2.1.2.2
ZAC,2,1,1,6,1.2.1.1,179,1.2.1.1
ZAC,2,1,1,7,1.2.1.1,180,1.2.1.1
ZAC,1,1,2,7,1.1.1.2,183,1.1.1.2
ZAC,1,2,2,8,4.1.2.2,183,4.1.2.2
ZAC,2,1,1,6,3.2.1.1,192,3.2.1.1
ZAC,1,1,1,4,3.1.1.1,195,3.1.1.1
ZAC,1,1,2,7,4.1.1.2,196,4.1.1.2
ZAC,1,2,2,8,3.1.2.2,197,3.1.2.2
ZAC,2,1,1,7,3.2.1.1,198,3.2.1.1
ZAC,2,2,1,6,4.2.2.1,199,4.2.2.1
ZAC,1,2,1,2,2.1.2.1,207,2.1.2.1
ZAC,1,1,1,3,4.1.1.1,208,4.1.1.1
ZAC,1,1,1,6,2.1.1.1,211,2.1.1.1
ZAC,1,2,1,6,4.1.2.1,213,4.1.2.1
ZAC,1,2,2,4,1.1.2.2,219,1.1.2.2
